version,direction,id,candidate,clause_count,dependency_depth,mean_dependency_distance,max_dependency_distance,normalized_dependency_distance,nominalization_ratio,modifier_density,coordination_count,passive_count,sentence_compression_ratio,token_count,sentence_count,avg_sentence_length,clause_count_native_z,dependency_depth_native_z,mean_dependency_distance_native_z,max_dependency_distance_native_z,normalized_dependency_distance_native_z,nominalization_ratio_native_z,modifier_density_native_z,coordination_count_native_z,passive_count_native_z,sentence_compression_ratio_native_z,token_count_native_z,sentence_count_native_z,avg_sentence_length_native_z
claude-version,CE,023,B,17.0,12.0,3.156716,47.0,0.023558,0.561818,0.376812,3.0,0.0,0.792453,138.0,4.0,34.5,6.155068917,3.657241403,-0.449400561,2.134576467,-2.223567344,-0.34528557,-0.991520436,0.135187105,-0.571266292,-1.717463749,7.814487075,9.342405822,0.426750029
claude-version,CE,023,C,14.0,7.0,3.138889,38.0,0.029064,0.51087,0.339286,3.0,1.0,0.628931,112.0,4.0,28.0,4.774224285,0.895892151,-0.476170913,1.365809131,-2.114283874,-0.705593177,-1.311725834,0.135187105,0.180993771,-1.817464708,5.921481528,9.342405822,-0.090531093
claude-version,CE,024,A,5.0,7.0,3.823529,29.0,0.056228,0.518571,0.585714,0.0,1.0,0.54386,70.0,2.0,35.0,0.631690391,0.895892151,0.551935541,0.597041796,-1.575130917,-0.651131198,0.791018287,-0.849663104,0.180993771,-1.869489399,2.863549491,2.955746113,0.466540884
claude-version,CE,024,B,5.0,7.0,3.449275,31.0,0.049989,0.514062,0.56338,0.0,2.0,0.570175,71.0,2.0,35.5,0.631690391,0.895892151,-0.010072161,0.767878982,-1.698963022,-0.683019143,0.600444622,-0.849663104,0.933253835,-1.853396609,2.936357396,2.955746113,0.50633174
claude-version,CE,024,C,8.0,8.0,3.842697,40.0,0.043176,0.511842,0.505495,0.0,3.0,0.72807,91.0,2.0,45.5,2.012535022,1.448162002,0.580719638,1.536646317,-1.834187918,-0.698719129,0.106518025,-0.849663104,1.685513898,-1.75683681,4.392515509,2.955746113,1.302148851
claude-version,CE,025,A,10.0,6.0,3.208955,34.0,0.047895,0.705,0.376812,13.0,2.0,0.659794,69.0,2.0,34.5,2.93309811,0.343622301,-0.370954585,1.02413476,-1.740524879,0.66730695,-0.991520436,3.418021137,0.933253835,-1.798590614,2.790741585,2.955746113,0.426750029
claude-version,CE,025,B,15.0,11.0,3.052632,38.0,0.040166,0.65641,0.423077,12.0,2.0,0.752577,78.0,2.0,39.0,5.234505829,3.104971552,-0.605700853,1.365809131,-1.893930607,0.323675275,-0.596746073,3.089737734,0.933253835,-1.741849693,3.446012736,2.955746113,0.784867729
claude-version,CE,025,C,13.0,9.0,3.555556,28.0,0.049383,0.713235,0.351351,12.0,2.0,0.701031,74.0,2.0,37.0,4.313942741,2.000431852,0.149527311,0.511623203,-1.710990952,0.725545412,-1.208776463,3.089737734,0.933253835,-1.773372359,3.154781113,2.955746113,0.625704306
claude-version,CE,026,A,10.0,4.0,3.016129,14.0,0.048647,0.508621,0.424242,8.0,5.0,0.7,66.0,4.0,16.5,2.93309811,-0.7609174,-0.660516479,-0.684237096,-1.725599131,-0.721498252,-0.586805251,1.776604121,3.190034025,-1.774002861,2.572317868,9.342405822,-1.005720771
claude-version,CE,026,B,7.0,5.0,3.271186,14.0,0.055444,0.49,0.483871,5.0,5.0,0.65,62.0,3.0,20.666667,1.552253478,-0.208647549,-0.277503877,-0.684237096,-1.590691803,-0.853187189,-0.077997286,0.791753912,3.190034025,-1.80458008,2.281086246,6.149075968,-0.674130282
claude-version,CE,026,C,8.0,4.0,2.868852,15.0,0.04703,0.475,0.4,8.0,4.0,0.675,65.0,4.0,16.25,2.012535022,-0.7609174,-0.881678599,-0.598818503,-1.757693459,-0.959268176,-0.793659679,1.776604121,2.437773962,-1.78929147,2.499509963,9.342405822,-1.025616199
claude-version,CE,027,A,5.0,8.0,3.254902,24.0,0.063822,0.426316,0.339623,0.0,3.0,0.648649,53.0,2.0,26.5,0.631690391,1.448162002,-0.301957145,0.169948832,-1.424404678,-1.303564625,-1.308850249,-0.849663104,1.685513898,-1.805406276,1.625815095,2.955746113,-0.20990366
claude-version,CE,027,B,6.0,9.0,3.040816,26.0,0.062057,0.426316,0.372549,0.0,0.0,0.635135,51.0,2.0,25.5,1.091971935,2.000431852,-0.623444639,0.340786018,-1.45943652,-1.303564625,-1.027896165,-0.849663104,-0.571266292,-1.813670687,1.480199283,2.955746113,-0.289485371
claude-version,CE,027,C,8.0,7.0,3.288136,28.0,0.055731,0.427273,0.344262,3.0,2.0,0.756757,61.0,2.0,30.5,2.012535022,0.895892151,-0.252050493,0.511623203,-1.584995407,-1.296796658,-1.269266152,0.135187105,0.933253835,-1.739293437,2.20827834,2.955746113,0.108423184
claude-version,CE,028,A,7.0,7.0,4.202247,75.0,0.047216,0.670238,0.483516,3.0,4.0,0.763158,91.0,2.0,45.5,1.552253478,0.895892151,1.120646717,4.526297065,-1.754001718,0.4214678,-0.081026463,0.135187105,2.437773962,-1.735378942,4.392515509,2.955746113,1.302148851
