version,direction,id,candidate,clause_count,dependency_depth,mean_dependency_distance,max_dependency_distance,normalized_dependency_distance,nominalization_ratio,modifier_density,coordination_count,passive_or_beishi_count,sentence_compression_ratio,token_count,sentence_count,avg_sentence_length,clause_count_native_z,dependency_depth_native_z,mean_dependency_distance_native_z,max_dependency_distance_native_z,normalized_dependency_distance_native_z,nominalization_ratio_native_z,modifier_density_native_z,coordination_count_native_z,passive_or_beishi_count_native_z,sentence_compression_ratio_native_z,token_count_native_z,sentence_count_native_z,avg_sentence_length_native_z
claude-version,EC,067,A,15.0,5.0,3.966667,24.0,0.044074,0.434615,0.451613,9.0,4.0,1.910448,93.0,3.0,31.0,4.827295265,0.516414992,0.12543824,0.428451812,-2.442138404,-0.587782281,1.022702086,2.773420035,4.109984367,-1.901611863,6.282562558,19.608052568,0.35199147
claude-version,EC,067,B,13.0,5.0,3.216867,19.0,0.038757,0.438028,0.383721,8.0,4.0,1.686567,86.0,3.0,28.666667,3.918764735,0.516414992,-0.578365846,-0.082217809,-2.55633929,-0.559591025,0.372125808,2.39306181,4.109984367,-1.961676853,5.610905759,19.608052568,0.127474418
claude-version,EC,067,C,13.0,6.0,3.6625,18.0,0.045781,0.520588,0.493976,5.0,3.0,1.731343,83.0,3.0,27.666667,3.918764735,1.384631187,-0.160069865,-0.184351733,-2.405474701,0.12235158,1.428646275,1.251987134,2.924252336,-1.949663909,5.323052845,19.608052568,0.03125281
claude-version,EC,068,A,11.0,7.0,3.860215,35.0,0.041508,0.502976,0.427083,2.0,3.0,2.014085,96.0,3.0,32.0,3.010234205,2.252847381,0.025516458,1.551924977,-2.497252091,-0.023122901,0.787642932,0.110912458,2.924252336,-1.873807112,6.570415472,19.608052568,0.448213078
claude-version,EC,068,B,11.0,6.0,3.564706,32.0,0.041938,0.511842,0.420455,2.0,0.0,1.84507,88.0,3.0,29.333333,3.010234205,1.384631187,-0.251864766,1.245523204,-2.48801636,0.050109937,0.724130006,0.110912458,-0.632943758,-1.919152114,5.802807702,19.608052568,0.191622092
claude-version,EC,068,C,11.0,7.0,3.844156,27.0,0.049924,0.483824,0.375,2.0,3.0,1.619718,80.0,3.0,26.666667,3.010234205,2.252847381,0.010442585,0.734853584,-2.316489508,-0.181317726,0.288556673,0.110912458,2.924252336,-1.979611759,5.035199931,19.608052568,-0.064968797
claude-version,EC,069,A,12.0,6.0,4.380952,28.0,0.052154,0.574306,0.37931,4.0,4.0,1.377551,87.0,3.0,29.0,3.46449947,1.384631187,0.51430924,0.836987508,-2.268592579,0.566060311,0.329857323,0.871628909,4.109984367,-2.044582697,5.706856731,19.608052568,0.159548255
claude-version,EC,069,B,16.0,6.0,4.52,26.0,0.060267,0.573387,0.38961,5.0,2.0,1.163265,77.0,2.0,38.5,5.28156053,1.384631187,0.644827446,0.63271966,-2.094337964,0.558469405,0.428557253,1.251987134,1.738520305,-2.102073446,4.747347017,9.75475982,1.073653528
claude-version,EC,069,C,10.0,7.0,5.828571,23.0,0.083265,0.521818,0.375,6.0,3.0,1.071429,72.0,2.0,36.0,2.55596894,2.252847381,1.873125147,0.326317888,-1.600376715,0.132511335,0.288556673,1.632345359,2.924252336,-2.126712109,4.267592161,9.75475982,0.833099508
claude-version,EC,070,A,25.0,7.0,4.019048,21.0,0.038277,0.474211,0.33945,7.0,1.0,1.613861,109.0,4.0,27.25,9.369947914,2.252847381,0.174605967,0.122050039,-2.566648943,-0.260720758,-0.052101825,2.012703584,0.552788273,-1.981183132,7.8177781,29.461345316,-0.008839558
claude-version,EC,070,B,22.0,6.0,4.068627,28.0,0.039889,0.45,0.330189,6.0,4.0,1.50495,106.0,4.0,26.5,8.00715212,1.384631187,0.221143581,0.836987508,-2.532025691,-0.460702739,-0.140845519,1.632345359,4.109984367,-2.010402843,7.529925186,29.461345316,-0.081005764
claude-version,EC,070,C,23.0,8.0,4.431034,26.0,0.038199,0.435096,0.383333,3.0,6.0,1.762376,120.0,4.0,30.0,8.461417384,3.121063576,0.561318998,0.63271966,-2.568324261,-0.583809239,0.368407791,0.491270684,6.48144843,-1.941338071,8.873238784,29.461345316,0.255769863
claude-version,EC,071,A,11.0,6.0,4.194805,31.0,0.054478,0.45,0.43038,11.0,2.0,1.407407,79.0,2.0,39.5,3.010234205,1.384631187,0.339581287,1.14338928,-2.218676675,-0.460702739,0.819236492,3.534136485,1.738520305,-2.036572636,4.93924896,9.75475982,1.169875135
claude-version,EC,071,B,12.0,9.0,4.378378,33.0,0.059167,0.454688,0.355263,8.0,2.0,1.308642,76.0,2.0,38.0,3.46449947,3.98927977,0.51189314,1.347657129,-2.117964252,-0.421980029,0.099426525,2.39306181,1.738520305,-2.063070279,4.651396046,9.75475982,1.025542724
claude-version,EC,071,C,14.0,8.0,4.234568,37.0,0.052279,0.436232,0.313253,8.0,1.0,1.45679,83.0,2.0,41.5,4.37303,3.121063576,0.376905056,1.756192825,-2.265907773,-0.57442592,-0.303135036,2.39306181,0.552788273,-2.023323681,5.323052845,9.75475982,1.36231835
claude-version,EC,072,A,10.0,7.0,4.152778,40.0,0.057677,0.403175,0.405405,7.0,3.0,1.567164,74.0,2.0,37.0,2.55596894,2.252847381,0.300132402,2.062594597,-2.149967134,-0.847475541,0.579913117,2.012703584,2.924252336,-1.993711461,4.459494104,9.75475982,0.929321116
claude-version,EC,072,B,13.0,7.0,3.318841,27.0,0.048099,0.337069,0.291667,5.0,1.0,1.447761,72.0,3.0,24.0,3.918764735,2.252847381,-0.482647364,0.734853584,-2.355687668,-1.393508703,-0.509983258,1.251987134,0.552788273,-2.025746069,4.267592161,19.608052568,-0.321559783
claude-version,EC,072,C,9.0,5.0,3.672131,20.0,0.060199,0.33125,0.328125,6.0,1.0,1.343284,64.0,3.0,21.333333,2.101703675,0.516414992,-0.151029672,0.019916115,-2.095798499,-1.441573432,-0.160623835,1.632345359,0.552788273,-2.053776183,3.49998439,19.608052568,-0.578150769
claude-version,EC,073,A,14.0,5.0,3.712329,20.0,0.050854,0.484677,0.25974,5.0,2.0,1.452055,77.0,4.0,19.25,4.37303,0.516414992,-0.113297588,0.019916115,-2.296514555,-0.174271977,-0.815924295,1.251987134,1.738520305,-2.024594033,4.747347017,29.461345316,-0.77861242
claude-version,EC,073,B,12.0,5.0,4.228916,27.0,0.050951,0.507746,0.383721,6.0,2.0,1.726027,86.0,3.0,28.666667,3.46449947,0.516414992,0.371599773,0.734853584,-2.294431146,0.016277126,0.372125808,1.632345359,1.738520305,-1.951090138,5.610905759,19.608052568,0.127474418
claude-version,EC,073,C,12.0,4.0,4.405063,23.0,0.05576,0.531538,0.341463,7.0,2.0,1.589041,82.0,3.0,27.333333,3.46449947,-0.351801202,0.536941169,0.326317888,-2.19114131,0.212798183,-0.032812217,2.012703584,1.738520305,-1.987842085,5.227101874,19.608052568,-0.000821123
